Label	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12
MS_R1_A1+M0	0.000	0.251	0.648	0.908	0.939	0.942	0.951	0.935	0.971	0.984	0.978	0.982	0.980
MS_R1_A1+M1	0.000	0.185	0.220	0.474	0.561	0.752	0.982	0.981	0.986	0.990	0.979	0.982	0.986
MS_R1_A1+M2	0.000	0.168	0.521	0.596	0.760	0.964	0.978	0.981	0.985	0.962	0.993	0.995	0.995
MS_R1_A1+M3	0.000	0.961	0.969	0.980	0.989	0.991	0.991	0.976	0.978	0.978	0.982	0.980	0.982
MS_R1_A1+M4	0.000	0.981	0.994	1.011	1.011	1.015	1.017	0.979	0.991	1.000	1.011	1.015	0.948
MS_R1_A1+M5	0.000	0.141	0.496	0.898	0.961	0.972	0.978	0.978	0.987	0.987	0.987	0.991	0.991
MS_R1_A1+M6	0.000	0.180	0.304	0.941	0.960	0.969	0.972	0.953	0.981	0.984	0.981	0.981	0.984
MS_R1_A1+M7	0.000	0.348	0.333	0.917	0.939	0.952	0.967	0.972	0.980	0.985	0.975	0.982	0.985
MS_R2_A1+M0	0.000	0.529	0.680	0.926	0.951	0.955	0.966	0.977	0.980	0.987	0.983	0.992	0.993
MS_R2_A1+M1	0.000	0.350	0.490	0.588	0.593	0.939	0.987	0.988	0.999	0.991	0.990	0.991	0.991
MS_R2_A1+M2	0.000	0.110	0.455	0.550	0.771	0.952	0.967	0.980	0.963	0.983	0.985	0.985	0.987
MS_R2_A1+M3	0.000	0.980	0.987	0.996	0.993	0.996	0.982	0.984	0.984	0.987	0.993	0.993	0.991
MS_R2_A1+M4	0.000	0.971	0.975	0.992	0.990	0.983	0.996	0.967	0.987	0.960	0.994	0.994	0.994
MS_R2_A1+M5	0.000	0.537	0.491	0.948	0.976	0.979	0.987	0.989	0.993	0.994	0.993	0.994	0.996
MS_R2_A1+M6	0.000	0.088	0.288	0.934	0.963	0.966	0.975	0.978	0.975	0.984	0.984	0.981	0.988
MS_R2_A1+M7	0.000	0.392	0.349	0.932	0.947	0.678	0.980	0.985	0.985	0.987	0.980	0.982	0.987
MS_R3_A1+M0	0.000	0.450	0.559	0.937	0.953	0.951	0.962	0.966	0.973	0.984	0.980	0.989	0.989
MS_R3_A1+M1	0.000	0.314	0.498	0.631	0.920	0.971	0.986	0.987	0.990	0.990	0.989	0.992	0.989
MS_R3_A1+M2	0.000	0.198	0.472	0.561	0.739	0.938	0.966	0.969	0.980	0.978	0.985	0.987	0.985
MS_R3_A1+M3	0.000	0.954	0.985	0.993	0.993	0.998	0.998	0.959	0.987	0.978	0.970	0.985	0.989
MS_R3_A1+M4	0.000	0.960	0.964	0.978	0.982	0.987	0.991	0.967	0.969	0.982	0.987	0.987	0.989
MS_R3_A1+M5	0.000	0.271	0.542	0.930	0.949	0.935	0.981	0.981	0.988	0.993	0.990	0.995	0.995
MS_R3_A1+M6	0.000	0.043	0.465	0.930	0.951	0.900	0.970	0.979	0.979	0.985	0.988	0.985	0.988
MS_R3_A1+M7	0.000	0.238	0.360	0.911	0.938	0.957	0.965	0.967	0.978	0.981	0.965	0.973	0.981
MS_R4_A1+M0	0.000	0.476	0.555	0.938	0.941	0.952	0.963	0.971	0.969	0.976	0.974	0.985	0.987
MS_R4_A1+M1	0.000	0.479	0.538	0.662	0.844	0.844	0.987	0.992	0.994	0.994	0.985	0.989	0.990
MS_R4_A1+M2	0.000	0.137	0.412	0.517	0.673	0.935	0.971	0.973	0.981	0.983	0.988	0.990	0.988
MS_R4_A1+M3	0.000	0.982	0.987	0.996	0.998	0.996	0.996	0.984	0.980	0.984	0.989	0.989	0.989
MS_R4_A1+M4	0.000	0.966	0.984	0.986	0.992	0.994	0.949	0.958	0.972	0.972	0.986	0.990	0.990
MS_R4_A1+M5	0.000	0.338	0.450	0.949	0.946	0.984	0.988	0.986	0.988	0.986	0.993	0.932	0.995
MS_R4_A1+M6	0.000	0.384	0.470	0.931	0.957	0.967	0.976	0.950	0.945	0.988	0.983	0.988	0.993
MS_R4_A1+M7	0.000	0.228	0.300	0.911	0.950	0.955	0.973	0.973	0.985	0.982	0.976	0.988	0.988
MS_R1_A5+M0	0.000	-0.038	0.038	0.692	0.924	0.970	0.979	0.983	0.983	0.983	1.000	0.996	0.996
MS_R1_A5+M1	0.000	0.530	0.595	0.597	0.617	0.682	0.835	0.886	0.989	0.996	0.992	0.992	0.992
MS_R1_A5+M2	0.000	0.120	0.463	0.571	0.596	0.770	0.900	0.974	0.957	0.963	0.986	0.986	0.986
MS_R1_A5+M3	0.000	0.936	0.979	0.991	0.991	0.993	0.993	0.968	0.972	0.977	0.982	0.984	0.979
MS_R1_A5+M4	0.000	0.779	0.970	0.987	0.987	0.983	0.987	0.735	0.949	0.968	0.979	0.981	0.985
MS_R1_A5+M5	0.000	0.553	0.532	0.828	0.957	0.970	0.974	0.980	0.989	0.993	0.989	0.993	0.993
MS_R1_A5+M6	0.000	0.335	0.281	0.930	0.946	0.956	0.966	0.972	0.982	0.974	0.985	0.987	0.987
MS_R1_A5+M7	0.000	0.159	0.276	0.412	0.941	0.950	0.959	0.944	0.971	0.976	1.000	0.979	0.982
MS_R3_A5+M0	0.000	0.221	0.216	0.548	0.988	0.993	0.993	0.993	0.993	0.993	0.998	1.002	1.002
MS_R3_A5+M1	0.000	0.249	0.490	0.605	0.728	0.903	0.749	0.846	0.988	0.992	0.981	0.988	0.986
MS_R3_A5+M2	0.000	-0.002	0.374	0.499	0.671	0.912	0.975	0.967	0.955	0.951	0.986	0.988	0.988
