rep	0	1	2	4	5.2	6.8	8.4	11.2	14.4	18.4	20	30.8	40
SS_R1_A1+M0	0.000	0.251	0.648	0.908	0.939	0.942	0.951	0.935	0.971	0.984	0.978	0.982	0.980
SS_R1_A1+M1	0.000	0.208	0.175	0.564	0.869	0.975	0.986	0.989	0.991	0.991	0.994	0.994	0.995
SS_R1_A1+M2	0.000	-0.319	0.129	0.425	0.615	0.930	0.964	0.971	0.975	0.989	0.975	0.977	0.973
SS_R1_A1+M3	0.000	0.979	0.987	0.989	0.990	0.994	0.987	0.975	0.987	0.985	0.983	0.989	0.989
SS_R1_A1+M4	0.000	0.913	0.928	0.964	0.957	0.978	0.986	0.899	0.899	0.949	0.949	0.971	0.942
SS_R1_A1+M5	0.000	0.117	0.545	0.942	0.972	0.972	0.978	0.985	0.985	0.988	0.978	0.988	0.975
SS_R1_A1+M6	0.000	0.060	0.048	0.944	0.960	0.919	0.968	0.972	0.980	0.980	0.972	0.976	0.980
SS_R1_A1+M7	0.000	0.553	0.549	0.930	0.954	0.967	0.978	0.983	0.989	0.989	0.991	0.989	0.876
SS_R2_A1+M0	0.000	0.529	0.680	0.926	0.951	0.955	0.966	0.977	0.980	0.987	0.983	0.992	0.993
SS_R2_A1+M1	0.000	0.260	0.486	0.715	0.870	0.974	0.988	0.988	0.982	0.992	0.993	0.993	0.993
SS_R2_A1+M2	0.000	0.143	0.314	0.466	0.688	0.939	0.959	0.962	0.971	0.982	0.966	0.977	0.982
SS_R2_A1+M3	0.000	0.928	0.985	0.988	0.985	0.990	0.993	0.983	0.985	0.985	0.985	0.985	0.988
SS_R2_A1+M4	0.000	0.982	0.987	1.000	0.997	1.005	1.005	0.974	0.979	0.987	0.992	0.990	0.979
SS_R2_A1+M5	0.000	0.217	0.585	0.944	0.964	0.976	0.982	0.982	0.985	0.982	0.979	0.973	0.988
SS_R2_A1+M6	0.000	0.231	0.234	0.933	0.967	0.936	0.977	0.943	0.960	0.973	0.980	0.980	0.987
SS_R2_A1+M7	0.000	0.276	0.294	0.909	0.932	0.771	0.965	0.971	0.982	0.979	0.979	0.982	0.979
SS_R3_A1+M0	0.000	0.450	0.559	0.937	0.953	0.951	0.962	0.966	0.973	0.984	0.980	0.989	0.989
SS_R3_A1+M1	0.000	0.239	0.369	0.736	0.934	0.975	0.988	0.987	0.987	0.982	0.990	0.992	0.992
SS_R3_A1+M2	0.000	-0.255	0.163	0.416	0.538	0.771	0.966	0.988	0.990	0.985	0.983	0.988	0.983
SS_R3_A1+M3	0.000	0.974	0.985	0.823	0.991	0.991	0.987	0.978	0.981	0.985	0.981	0.987	0.987
SS_R3_A1+M4	0.000	0.953	0.972	0.991	0.993	0.986	1.000	0.951	0.960	0.967	0.977	0.984	0.981
SS_R3_A1+M5	0.000	0.297	0.582	0.960	0.958	0.972	0.983	0.986	0.989	0.986	0.969	0.963	0.975
SS_R3_A1+M6	0.000	0.248	0.212	0.902	0.948	0.971	0.974	0.954	0.951	0.967	0.984	0.980	0.990
SS_R3_A1+M7	0.000	0.307	0.356	0.912	0.896	0.948	0.956	0.967	0.962	0.978	0.978	0.973	0.723
SS_R4_A1+M0	0.000	0.476	0.555	0.938	0.941	0.952	0.963	0.971	0.969	0.976	0.974	0.985	0.987
SS_R4_A1+M1	0.000	0.340	0.511	0.739	0.642	0.982	0.988	0.986	0.988	0.989	0.995	0.995	0.996
SS_R4_A1+M2	0.000	-0.108	0.197	0.438	0.736	0.926	0.972	0.974	0.964	0.979	0.974	0.974	0.979
SS_R4_A1+M3	0.000	0.977	0.983	0.990	0.990	0.992	0.990	0.975	0.983	0.983	0.971	0.986	0.988
SS_R4_A1+M4	0.000	0.978	0.984	1.004	1.004	1.000	1.009	0.971	0.991	0.980	0.996	0.993	0.993
SS_R4_A1+M5	0.000	0.237	0.574	0.922	0.964	0.975	0.975	0.981	0.986	0.986	0.967	0.975	0.975
SS_R4_A1+M6	0.000	0.153	0.201	0.951	0.941	0.979	0.965	0.983	0.976	0.976	0.986	0.990	0.993
SS_R4_A1+M7	0.000	0.386	0.414	0.924	0.948	0.955	0.955	0.976	0.986	0.986	0.974	0.988	0.988
SS_R3_A2+M0	0.000	0.307	0.413	0.250	0.359	0.993	0.998	0.998	0.998	0.995	1.000	1.000	1.000
