	M0	M1	M2	M3	M4	M5	M6	M7
MS_R1_A1	0.5	4.2	3.4	0.5	0.5	2	2	2
MS_R2_A1	0.5	3.4	3.4	0.5	0.5	2	2	2
MS_R3_A1	0.5	2.6	3.4	0.5	0.5	2	2	2
MS_R4_A1	0.5	2.6	3.4	0.5	0.5	2	2	2
MS_R1_A5	2	4.2	4.2	0.5	1	2	2	2.6
MS_R3_A5	2	3.4	3.4	1	0.5	2	2	2
MS_R4_A5	2.6	3.4	4.2	0.5	0.5	2	2	2.6
MS_R1_A6	2.6	2.6	2.6	0.5	1	2	2	2
MS_R2_A6	2.6	4.2	5.6	7.2	1	2.6	2	3.4
MS_R1_A7	3.4	3.4	3.4	4.2	0.5	2	2	4.2
MS_R2_A7	3.4	5.6	5.6	4.2	1	2.6	2.6	3.4
MS_R1_A9	5.6	4.2	3.4	4.2	0.5	2	2	3.4
MS_R2_A9	7.2	9.2	7.2	10	1	3.4	2.6	3.4
MS_R4_A9	4.2	4.2	5.6	7.2	1	3.4	2.6	3.4
MS_R4_A10	5.6	5.6	7.2	7.2	1	3.4	3.4	4.2
MS_R4_A12	9.2	9.2	7.2	1	1	3.4	3.4	4.2
MS_R2_A13	9.2	7.2	5.6	1	1	2.6	2.6	3.4
MS_R2_A14	10	1	5.6	0.5	1	2.6	2.6	4.2
MS_R3_A14	7.2	4.2	5.6	0.5	1	2	2.6	3.4
MS_R4_A14	10	9.2	9.2	2	1	3.4	3.4	4.2
MS_R1_A17	9.2	0	5.6	0.5	1	2	2.6	3.4
MS_R3_A24	10	10	7.2	1	1	3.4	3.4	4.2
