	M0	M1	M2	M3	M4	M5	M6	M7
SS_R1_A1	1	2.6	3.8	0.5	0.5	2	2	2
SS_R2_A1	1	2.6	4.2	0.5	0.5	2	2	2
SS_R3_A1	1	2.6	4.2	0.5	0.5	2	2	2
SS_R4_A1	1	3.4	4.2	0.5	0.5	2	2	2
SS_R3_A2	2.6	2.6	3.4	0.5	0.5	2	2	2
SS_R1_A3	4.2	9.2	5.6	1	0.5	2	2.6	2
SS_R2_A3	2.6	2.6	3.4	0.5	0.5	2	2	2
SS_R3_A3	9.2	3.4	4.2	0.5	0.5	2	2.6	2.6
SS_R4_A3	3.4	2.6	3.4	0.5	0.5	1	2	2
SS_R1_A4	5.6	4.2	3.4	1	0.5	2	2	2
SS_R2_A4	3.4	3.4	4.2	0.5	0.5	1	2	2
SS_R3_A4	7.2	4.2	5.6	0.5	0.5	2	2.6	2.6
SS_R4_A4	9.2	0	0	0	0	2	0	0
SS_R2_A5	5.6	4.2	9.2	0.5	1	2	2.6	3.4
SS_R1_A6	7.2	3.4	4.2	0.5	0.5	2	2	2
SS_R3_A6	9.2	7.2	9.2	1	1	2	2.6	3.4
SS_R1_A7	10	2	2.6	1	0.5	2	2	2
SS_R2_A7	4.2	0	0	2	0.5	2	2.6	2.6
SS_R3_A7	10	4.2	7.2	2	0.5	2.6	2.6	3.4
SS_R4_A7	10	5.6	7.2	5.6	1	2	2.6	3.4
