Day,MS_R1,MS_R2,MS_R3,MS_R4,SS_R1,SS_R2,SS_R3,SS_R4
1,1,1,1,1,2,2,2,2
2,1,1,1,2,2,2,5.2,2
3,2,2,2,2,5.2,5.2,6.8,5.2
4,1,1,1,2,8.4,6.8,8.4,8.4
5,2,2,2,4,6.8,5.2,8.4,11.2
6,4,5.2,2,4,14.4,11.2,18.4,11.2
7,4,5.2,2,4,11.2,8.4,20,18.4
8,2,6.8,4,4,0,0,0,0
9,4,5.2,4,5.2,0,0,0,0
10,4,5.2,8.4,6.8,0,0,0,0
11,6.8,4,2,6.8,0,0,0,0
12,2,4,2,4,0,0,0,0
13,8.4,8.4,5.2,0,0,0,0,0
14,6.8,8.4,5.2,0,0,0,0,0
15,8.4,0,5.2,0,1,2,2,4
16,6.8,0,4,0,2,2,4,6.8
17,8.4,0,2,0,4,5.2,6.8,5.2
18,0,0,4,0,6.8,4,5.2,6.8
19,0,0,2,0,6.8,5.2,11.2,8.4
20,0,0,8.4,2,8.4,5.2,14.4,14.4
21,0,0,1,2,14.4,11.2,6.8,6.8
22,0,2,1,4,11.2,8.4,11.2,18.4
23,0,4,0,5.2,14.4,14.4,20,20
24,0,2,0,6.8,18.4,14.4,20,20
25,2,2,0,8.4,11.2,11.2,14.4,30.8
26,4,6.8,0,11.2,18.4,20,30.8,20
27,2,6.8,0,11.2,11.2,20,11.2,18.4
28,1,8.4,0,18.4,14.4,20,30.8,30.8
29,1,8.4,0,30.8,30.8,,30.8,30.8
30,5.2,18.4,6.8,20,20,,30.8,30.8
31,8.4,8.4,2,20,,,,
32,5.2,14.4,2,14.4,,,,
33,1,11.2,2,20,,,,
34,4,14.4,2,20,,,,
35,1,18.4,1,30.8,,,,
36,1,6.8,5.2,,,,,
37,11.2,8.4,6.8,,,,,
38,1,,8.4,,,,,
39,4,,6.8,,,,,
40,2,,1,,,,,
41,,,6.8,,,,,
42,,,11.2,,,,,
43,,,14.4,,,,,
44,,,14.4,,,,,
45,,,8.4,,,,,
46,,,14.4,,,,,
47,,,14.4,,,,,
