Rep,Day,Gen,MIC,relMIC,Bottleneck
R1,0,0.00,0.0036,1.0,0.00
R1,1,2.61,0.0018,0.5,53257.66
R1,2,6.67,0.0036,1.0,6524.54
R1,3,14.08,0.0036,1.0,2168.76
R1,4,20.88,0.0072,2.0,7375.69
R1,5,26.75,0.0072,2.0,1682.56
R1,6,32.62,0.0122,3.4,1968.66
R1,7,38.72,0.0094,2.6,2293.52
R1,8,44.67,0.0094,2.6,3160.14
R1,9,50.58,0.0151,4.2,1711.76
R1,10,55.88,0.0122,3.4,2182.80
R1,11,61.58,0.0200,5.6,1715.45
R1,12,67.21,0.0260,7.2,1737.73
R1,13,75.04,0.0200,5.6,4117.37
R1,14,80.72,0.0151,4.2,1715.45
R1,15,86.44,0.0260,7.2,1752.75
R1,16,92.03,0.0200,5.6,1845.62
R1,17,97.68,0.0200,5.6,1783.18
R1,18,97.68,0.0151,4.2,1794.72
R1,19,116.76,0.0200,5.6,0.16
R1,20,122.25,0.0200,5.6,2249.54
R1,21,127.79,0.0200,5.6,2020.14
R1,22,133.45,0.0200,5.6,1918.49
R1,23,139.16,0.0200,5.6,1837.70
R1,24,144.70,0.0330,9.2,2244.71
R1,25,145.95,0.0330,9.2,53257.66
R1,26,152.86,0.0200,5.6,3713.43
R1,27,158.79,0.0072,2.0,1994.23
R1,28,164.59,0.0072,2.0,1771.71
R1,29,170.60,0.0072,2.0,1981.40
R1,30,176.44,0.0094,2.6,1837.70
R1,31,181.92,0.0072,2.0,2206.41
R1,32,185.90,0.0122,3.4,53257.66
R1,33,192.24,0.0094,2.6,1825.88
R1,34,197.52,0.0200,5.6,2956.27
R1,35,203.64,0.0122,3.4,1926.76
R1,36,209.34,0.0122,3.4,1818.04
R1,37,214.54,0.0260,7.2,2581.58
R1,38,220.43,0.0260,7.2,1861.57
R1,39,226.24,0.0360,10.0,2211.16
R1,40,232.28,0.0200,5.6,2131.76
R1,41,237.98,0.0260,7.2,1787.02
R1,42,243.60,0.0260,7.2,1849.60
