Rep,Day,Gen,MIC,relMIC,Bottleneck
R1,0,0.00,0.0036,1.0,0.00
R1,1,2.61,0.0036,1.0,53257.66
R1,2,8.51,0.0151,4.2,6524.54
R1,3,16.37,0.0151,4.2,1722.85
R1,4,23.27,0.0200,5.6,3356.34
R1,5,29.21,0.0260,7.2,2451.68
R1,6,37.19,0.0330,9.2,2994.68
R1,7,43.61,0.0330,9.2,1719.14
R1,8,49.03,0.0151,4.2,2472.87
R1,9,50.94,0.0151,4.2,53257.66
R1,10,56.70,0.0018,0.5,1837.70
R1,11,62.31,0.0018,0.5,1989.95
R1,12,67.92,0.0036,1.0,1935.07
R1,13,73.75,0.0036,1.0,1829.81
R1,14,79.31,0.0036,1.0,2050.79
R1,15,85.06,0.0018,0.5,1930.91
R1,16,85.98,0.0036,1.0,53257.66
R1,17,91.70,0.0072,2.0,1711.76
R1,18,97.43,0.0122,3.4,1730.27
R1,19,103.88,0.0200,5.6,1771.71
R1,20,109.82,0.0122,3.4,1734.00
R1,21,115.43,0.0200,5.6,1767.90
R1,22,121.64,0.0200,5.6,9861.13
R1,23,127.28,0.0260,7.2,1737.73
R1,24,133.30,0.0330,9.2,1730.27
R1,25,138.86,0.0200,5.6,2254.39
R1,26,144.28,0.0330,9.2,2131.76
R2,0,0.00,0.0036,1.0,0.00
R2,1,3.07,0.0036,1.0,53257.66
R2,2,9.63,0.0094,2.6,8970.56
R2,3,17.15,0.0122,3.4,1752.75
R2,4,22.83,0.0200,5.6,2020.14
R2,5,29.40,0.0200,5.6,2154.81
R2,6,34.66,0.0330,9.2,4117.37
R2,7,41.00,0.0360,10.0,1794.72
R2,8,47.38,0.0018,0.5,1722.85
R2,9,48.04,0.0018,0.5,53257.66
R2,10,53.71,0.0200,5.6,1686.18
R2,11,60.51,0.0200,5.6,1719.14
R2,12,65.73,0.0072,2.0,3818.74
R2,13,71.98,0.0072,2.0,1893.89
R2,14,77.72,0.0122,3.4,2159.45
R2,15,83.54,0.0036,1.0,2313.34
R2,16,85.83,0.0036,1.0,53257.66
R2,17,91.29,0.0072,2.0,1998.53
R2,18,97.15,0.0072,2.0,1760.31
R2,19,102.75,0.0094,2.6,1771.71
R2,20,108.54,0.0072,2.0,1734.00
R2,21,114.17,0.0200,5.6,1752.75
R2,22,120.99,0.0151,4.2,8667.05
R2,23,126.63,0.0200,5.6,1752.75
R2,24,132.18,0.0260,7.2,1853.58
R2,25,137.95,0.0360,10.0,1741.48
R2,26,144.23,0.0550,15.3,1889.82
R3,0,0.00,0.0036,1.0,0.00
R3,1,3.71,0.0094,2.6,53257.66
R3,2,9.28,0.0151,4.2,13912.57
R3,3,15.44,0.0260,7.2,16000.52
R3,4,22.40,0.0200,5.6,3356.34
R3,5,27.23,0.0330,9.2,23364.84
R3,6,33.13,0.0360,10.0,13269.48
R3,7,40.69,0.0360,10.0,7816.77
R3,8,47.79,0.0151,4.2,9466.21
R3,9,49.67,0.0330,9.2,53257.66
R3,10,56.48,0.0200,5.6,2090.88
R3,11,61.70,0.0260,7.2,4704.82
R3,12,67.01,0.0072,2.0,3503.89
R3,13,74.99,0.0094,2.6,1877.66
R3,14,81.41,0.0094,2.6,2333.33
R3,15,87.60,0.0036,1.0,3978.06
R3,16,89.58,0.0072,2.0,53257.66
R3,17,95.05,0.0094,2.6,1964.43
R3,18,101.25,0.0072,2.0,1853.58
R3,19,106.45,0.0200,5.6,2394.35
R3,20,113.59,0.0200,5.6,1719.14
R3,21,119.18,0.0122,3.4,1798.59
R3,22,123.14,0.0200,5.6,19969.27
R3,23,128.83,0.0360,10.0,1737.73
R3,24,135.55,0.0360,10.0,1869.60
R3,25,141.39,0.0360,10.0,3943.98
R3,26,148.65,0.0360,10.0,4506.70
R4,0,0.00,0.0036,1.0,0.00
R4,1,3.67,0.0036,1.0,53257.66
R4,2,10.01,0.0094,2.6,13558.02
R4,3,17.64,0.0151,4.2,1752.75
R4,4,25.26,0.0200,5.6,2090.88
R4,5,31.33,0.0200,5.6,2173.43
R4,6,37.46,0.0330,9.2,2918.36
R4,7,45.59,0.0360,10.0,1734.00
R4,8,51.45,0.0151,4.2,2409.85
R4,9,53.80,0.0200,5.6,53257.66
R4,10,60.74,0.0200,5.6,1853.58
R4,11,65.73,0.0200,5.6,4545.64
R4,12,71.87,0.0072,2.0,2899.59
R4,13,78.26,0.0094,2.6,1960.21
R4,14,84.37,0.0094,2.6,2564.98
R4,15,91.23,0.0036,1.0,3557.05
R4,16,95.59,0.0122,3.4,53257.66
R4,17,102.74,0.0094,2.6,1914.37
R4,18,107.17,0.0122,3.4,7601.20
R4,19,113.60,0.0151,4.2,1741.48
R4,20,119.96,0.0260,7.2,2150.18
R4,21,126.28,0.0072,2.0,1722.85
R4,22,130.29,0.0330,9.2,10655.16
R4,23,137.08,0.0360,10.0,1737.73
R4,24,143.00,0.0360,10.0,2504.99
R4,25,148.78,0.0360,10.0,3020.56
R4,26,154.49,0.0360,10.0,3334.74
