ID,max df,standard error,time of max df,standard error,max y,standard error
MG1655_C1,3.14E+00,7.86E-03,2.13E-01,6.48E-04,6.41E-01,1.49E-04
MG1655_C2,6.88E+00,2.42E-02,6.04E-02,1.72E-03,5.99E-01,3.13E-04
MG1655_C3,3.73E+00,7.21E-03,1.98E-01,4.86E-03,6.07E-01,1.42E-04
MG1655_C4,6.72E+00,6.83E-03,1.23E-01,5.34E-04,5.84E-01,1.83E-04
MG1655_C5,6.41E+00,1.16E-02,9.74E-02,1.38E-04,5.22E-01,1.31E-04
MG1655_C6,4.60E+00,1.82E-02,5.21E-02,1.38E-03,5.38E-01,2.18E-04
MG1655_C7,2.58E+00,1.69E-02,8.40E-02,1.21E-02,5.11E-01,1.64E-04
MG1655_C8,6.66E+00,1.92E-02,4.17E-02,1.39E-18,5.51E-01,9.95E-05
MS_CR1_N1+M7_C1,2.61E+00,3.45E-03,1.62E-01,6.53E-04,4.86E-01,5.24E-05
MS_CR1_N1+M7_C2,4.37E+00,4.14E-03,1.58E-01,6.71E-04,4.36E-01,8.02E-05
MS_CR1_N1+M7_C3,1.06E+01,6.83E-03,1.38E-01,4.17E-04,3.49E-01,1.60E-04
MS_CR1_N1+M7_C4,1.49E+01,1.26E-02,8.33E-02,2.78E-18,4.35E-01,1.08E-04
MS_CR1_N1+M7_C5,9.97E+00,7.86E-03,1.11E-01,1.96E-04,3.00E-01,1.14E-04
MS_CR1_N1+M7_C6,1.39E+01,1.15E-02,5.58E-02,1.94E-04,3.96E-01,6.78E-05
MS_CR1_N1+M7_C7,1.27E+01,1.51E-02,6.32E-02,7.18E-04,4.03E-01,1.12E-04
MS_CR1_N1+M7_C8,1.35E+01,1.14E-02,7.49E-02,6.77E-04,4.09E-01,7.81E-05
MS_CR1_N1+M7_C9,1.16E+01,1.11E-02,8.33E-02,2.78E-18,4.06E-01,6.95E-05
MS_CR1_N1+M7_C10,1.15E+01,8.00E-03,7.00E-02,2.72E-04,3.42E-01,7.78E-05
MS_CR1_N1+M7_C11,2.40E+00,3.61E-03,1.59E-01,6.92E-04,4.64E-01,6.43E-05
MS_CR1_N1+M7_C12,8.02E+00,5.60E-03,1.11E-01,1.94E-04,3.84E-01,8.41E-05
MS_CR1_N1+M7_C13,8.97E+00,6.39E-03,9.00E-02,6.94E-04,3.33E-01,9.34E-05
MS_CR1_N1+M7_C14,1.33E+01,9.90E-03,6.94E-02,0.00E+00,4.09E-01,8.91E-05
MS_CR1_N1+M7_C15,9.10E+00,4.88E-03,1.33E-01,6.92E-04,3.31E-01,9.69E-05
