"","Treatment1","Phase","Replicate","Generations","Nmut","Nmut_cum","MIC","Treatment2"
"1","SS",3,"R2",161.63,10,42,15.3,"Treatment"
"2","SS",1,"R2",41,17,17,10,"Treatment"
"3","SS",1,"R3",40.69,19,19,10,"Treatment"
"4","SS",1,"R4",45.59,26,26,10,"Treatment"
"5","MS",1,"R2",83.34,89,89,10,"Treatment"
"6","SS",3,"R4",183.49,17,72,10,"Treatment"
"7","SS",3,"R3",177.65,8,44,10,"Treatment"
"8","MS",3,"R2",217.12,20,172,10,"Treatment"
"9","MS",2,"R1",145.95,35,59,9.2,"Treatment"
"10","MS",2,"R2",126.43,63,152,9.2,"Treatment"
"11","MS",2,"R4",117.93,6,62,7.2,"Treatment"
"12","MS",3,"R1",237.98,18,77,7.2,"Treatment"
"13","MS",3,"R4",215.44,27,89,7.2,"Treatment"
"14","MS",1,"R1",97.68,24,24,5.6,"Treatment"
"15","MS",1,"R4",69.57,56,56,4.2,"Treatment"
"16","SS",2,"R2",83.54,15,32,1,"Treatment"
"17","SS",2,"R3",87.6,17,36,1,"Treatment"
"18","SS",2,"R4",91.23,29,55,1,"Treatment"
"19","SS",0,"R2",0,0,0,0,"Treatment"
"20","SS",0,"R3",0,0,0,0,"Treatment"
"21","SS",0,"R4",0,0,0,0,"Treatment"
"22","MS",0,"R1",0,0,0,0,"Treatment"
"23","MS",0,"R4",0,0,0,0,"Treatment"
"24","MS",0,"R2",0,0,0,0,"Treatment"
"25","SS",0,"R2",0,0,0,0,"Treatment"
"26","SS",0,"R3",0,0,0,0,"Treatment"
"27","SS",0,"R4",0,0,0,0,"Treatment"
"28","MS",0,"R1",0,0,0,0,"Treatment"
"29","MS",0,"R4",0,0,0,0,"Treatment"
"30","MS",0,"R2",0,0,0,0,"Treatment"
"31","SS",0,"R4",0,0,0,0,"Treatment"
"32","SS",0,"R2",0,0,0,0,"Treatment"
"33","SS",0,"R3",0,0,0,0,"Treatment"
"34","MS",0,"R2",0,0,0,0,"Treatment"
"35","MS",0,"R1",0,0,0,0,"Treatment"
"36","MS",0,"R4",0,0,0,0,"Treatment"
